queryLen,epoch,count
43.67013468090458,2017-12-01,43733
67.43465307097905,2018-01-01,62765
39.57412860973144,2018-02-01,45502
108.12922629214904,2018-03-01,395175
53.395172169903994,2018-04-01,76349
112.17796988643613,2018-05-01,501568
44.107133873320926,2018-06-01,79508
44.77928800499343,2018-07-01,92922
117.2354007894999,2018-08-01,1284864
107.94496913364782,2018-09-01,902439
37.56752277028811,2018-10-01,799397
80.19447212088069,2018-11-01,266974
78.6546559366623,2018-12-01,360733
79.90585688708491,2019-01-01,384829
70.86445352261777,2019-02-01,736810
81.05835687029608,2019-03-01,540639
76.58348586112535,2019-04-01,719541
59.50162131731567,2019-05-01,806443
64.06516864586388,2019-06-01,1139014
66.7066025430022,2019-07-01,2776718
72.19721095803813,2019-08-01,89729091
